 
  * * * * * * * PROGRAM ZCROSS * * * * * * * *
  * *
  * M.J. KRAFFT *
  * *
  * *
  * Zero Up-Crossing Analysis *
  * *
  * * * * * * * * * * * * * * * * * * * * * * *
 
 
  * * * * * * * * INPUT DATA * * * * * * * * *
 
  INPUT TIME SERIES ANALYZED: vagues.in   
  NUMBER OF POINTS IN SERIES:        10335
  TIME SERIES TIME STEP :   0.2030000      SEC
  TIME SERIES RECORD LENGTH :    2097.802      SEC
 
  Notes: -mean of time series has been removed.
  -except for computation of mean of input
  time series, data prior to first up-
  crossing and data after last up-crossing
  has been ignored in z-cross analysis.
 
  * * * Z-CROSS WAVE HEIGHT/PERIOD DATA * * * *
 
 INDEX   HEIGHT    PERIOD     CREST HEIGHT   TROUGH DEPTH
   479    0.0410    0.6090     0.0069         -0.0341
   480    0.0730    0.6090     0.0489         -0.0241
   481    0.0570    0.6090     0.0329         -0.0241
   482    0.0390    1.2180     0.0239         -0.0151
   483    0.0480    1.0150     0.0249         -0.0231
   484    0.0510    1.0150     0.0349         -0.0161
   485    0.0110    0.4060     0.0039         -0.0071
   486    0.0180    0.6090     0.0129         -0.0051
   487    0.0150    1.0150     0.0059         -0.0091
   488    0.0310    0.8120     0.0149         -0.0161
   489    0.0320    1.0150     0.0249         -0.0071
   490    0.0550    1.0150     0.0139         -0.0411
   491    0.0670    1.2180     0.0349         -0.0321
   492    0.0870    1.2180     0.0369         -0.0501
   493    0.0750    1.2180     0.0369         -0.0381
   494    0.0750    0.8120     0.0509         -0.0241
   495    0.0650    0.8120     0.0409         -0.0241
   496    0.0430    0.8120     0.0269         -0.0161
   497    0.0260    1.0150     0.0169         -0.0091
   498    0.0290    0.6090     0.0179         -0.0111
   499    0.0310    0.8120     0.0109         -0.0201
   500    0.0310    0.8120     0.0109         -0.0201
   501    0.0940    0.8120     0.0659         -0.0281
   502    0.0370    1.0150     0.0139         -0.0231
   503    0.0560    0.8120     0.0319         -0.0241
   504    0.1070    1.0150     0.0759         -0.0311
   505    0.0590    1.2180     0.0369         -0.0221
   506    0.1210    0.8120     0.0669         -0.0541
