 
  * * * * * * * PROGRAM ZCROSS * * * * * * * *
  * *
  * M.J. KRAFFT *
  * *
  * *
  * Zero Up-Crossing Analysis *
  * *
  * * * * * * * * * * * * * * * * * * * * * * *
 
 
  * * * * * * * * INPUT DATA * * * * * * * * *
 
  INPUT TIME SERIES ANALYZED: g1-f203.in  
  NUMBER OF POINTS IN SERIES:         3952
  TIME SERIES TIME STEP :   0.2030000      SEC
  TIME SERIES RECORD LENGTH :    802.0530      SEC
 
  Notes: -mean of time series has been removed.
  -except for computation of mean of input
  time series, data prior to first up-
  crossing and data after last up-crossing
  has been ignored in z-cross analysis.
 
  * * * Z-CROSS WAVE HEIGHT/PERIOD DATA * * * *
 
 INDEX   HEIGHT    PERIOD     CREST HEIGHT   TROUGH DEPTH
   146    0.2528    2.8420     0.1247         -0.1282
   147    0.2377    2.8420     0.1261         -0.1116
   148    0.1482    2.4360     0.0797         -0.0685
   149    0.2274    2.6390     0.0993         -0.1281
   150    0.2826    2.6390     0.1404         -0.1422
   151    0.2793    2.4360     0.1392         -0.1401
   152    0.2482    2.4360     0.1303         -0.1179
   153    0.2429    2.4360     0.1146         -0.1283
   154    0.2765    2.6390     0.1372         -0.1393
   155    0.2181    2.4360     0.1229         -0.0951
   156    0.1548    2.2330     0.0762         -0.0785
   157    0.1714    2.2330     0.0822         -0.0892
   158    0.1772    2.2330     0.0918         -0.0854
   159    0.1578    2.4360     0.0824         -0.0753
   160    0.1581    2.2330     0.0734         -0.0847
   161    0.1434    2.2330     0.0795         -0.0639
   162    0.0952    1.8270     0.0444         -0.0508
   163    0.1458    2.2330     0.0701         -0.0757
   164    0.1556    2.2330     0.0819         -0.0737
   165    0.1278    2.0300     0.0611         -0.0666
   166    0.1337    2.0300     0.0712         -0.0625
   167    0.0826    1.8270     0.0413         -0.0413
   168    0.1070    2.2330     0.0517         -0.0553
   169    0.0754    2.0300     0.0566         -0.0189
   170    0.0482    1.6240     0.0090         -0.0391
   171    0.1173    2.2330     0.0563         -0.0610
   172    0.0952    2.0300     0.0526         -0.0426
   173    0.0732    1.8270     0.0347         -0.0385
   174    0.0763    2.4360     0.0433         -0.0331
   175    0.0319    3.2480     0.0216         -0.0103
   176    0.0238    2.2330     0.0101         -0.0137
   177    0.0331    1.6240     0.0131         -0.0200
   178    0.0844    2.2330     0.0379         -0.0466
   179    0.0782    2.6390     0.0362         -0.0420
   180    0.1378    2.2330     0.0610         -0.0768
   181    0.1145    2.0300     0.0606         -0.0540
   182    0.0638    2.6390     0.0479         -0.0159
   183    0.0386    1.8270     0.0136         -0.0250
   184    0.0955    2.2330     0.0405         -0.0550
   185    0.0750    1.8270     0.0492         -0.0258
   186    0.0487    1.6240     0.0177         -0.0310
   187    0.0519    1.8270     0.0307         -0.0212
   188    0.0483    1.6240     0.0098         -0.0385
   189    0.1049    2.0300     0.0551         -0.0497
   190    0.0724    2.0300     0.0415         -0.0309
   191    0.0812    2.2330     0.0315         -0.0497
   192    0.0736    2.0300     0.0438         -0.0298
   193    0.0550    1.6240     0.0248         -0.0301
   194    0.0510    2.4360     0.0328         -0.0182
   195    0.0233    2.4360     0.0133         -0.0100
   196    0.0234    1.6240     0.0120         -0.0115
   197    0.0390    1.8270     0.0218         -0.0172
   198    0.0277    1.8270     0.0153         -0.0124
   199    0.0184    1.4210     0.0063         -0.0121
   200    0.0325    1.6240     0.0148         -0.0177
   201    0.0408    1.8270     0.0214         -0.0194
   202    0.0562    2.0300     0.0273         -0.0288
   203    0.0308    2.8420     0.0208         -0.0100
   204    0.0400    1.8270     0.0146         -0.0255
   205    0.0347    1.6240     0.0227         -0.0120
   206    0.0504    1.6240     0.0185         -0.0319
   207    0.0680    1.6240     0.0353         -0.0327
   208    0.0980    1.8270     0.0387         -0.0593
   209    0.1491    1.8270     0.0713         -0.0778
   210    0.1393    1.6240     0.0603         -0.0791
   211    0.1911    2.0300     0.1020         -0.0890
   212    0.1220    1.6240     0.0681         -0.0540
   213    0.1268    1.8270     0.0645         -0.0623
   214    0.0990    1.8270     0.0559         -0.0431
   215    0.0586    1.6240     0.0335         -0.0251
   216    0.0540    2.0300     0.0261         -0.0280
   217    0.0628    2.4360     0.0231         -0.0397
   218    0.0819    2.0300     0.0430         -0.0389
   219    0.0661    2.0300     0.0343         -0.0318
   220    0.0419    2.0300     0.0259         -0.0161
   221    0.0319    2.2330     0.0132         -0.0187
   222    0.0281    1.8270     0.0110         -0.0171
   223    0.0247    1.6240     0.0174         -0.0073
   224    0.0305    1.8270     0.0119         -0.0186
   225    0.0362    1.6240     0.0157         -0.0205
   226    0.0612    2.0300     0.0306         -0.0306
   227    0.0356    3.6540     0.0181         -0.0174
   228    0.0097    1.4210     0.0007         -0.0091
   229    0.0340    3.0450     0.0127         -0.0213
   230    0.0290    2.0300     0.0204         -0.0086
   231    0.0181    2.6390     0.0031         -0.0150
   232    0.0376    2.0300     0.0186         -0.0190
   233    0.0250    1.4210     0.0137         -0.0113
   234    0.0406    2.0300     0.0181         -0.0225
   235    0.0513    2.0300     0.0300         -0.0213
   236    0.0253    1.8270     0.0131         -0.0122
   237    0.0182    2.0300     0.0094         -0.0088
   238    0.0120    1.6240     0.0057         -0.0062
   239    0.0168    1.6240     0.0058         -0.0110
   240    0.0485    2.0300     0.0184         -0.0301
   241    0.0439    1.8270     0.0279         -0.0160
   242    0.0301    1.6240     0.0171         -0.0131
   243    0.0624    2.0300     0.0282         -0.0342
   244    0.0282    1.6240     0.0203         -0.0078
   245    0.0174    1.4210     0.0036         -0.0137
   246    0.0362    2.0300     0.0208         -0.0154
   247    0.0141    1.6240     0.0067         -0.0074
   248    0.0166    1.6240     0.0062         -0.0103
   249    0.0289    3.2480     0.0180         -0.0110
   250    0.0401    2.2330     0.0191         -0.0210
   251    0.0206    3.4510     0.0102         -0.0104
   252    0.0075    1.2180     0.0029         -0.0046
   253    0.0525    2.6390     0.0233         -0.0293
   254    0.0394    3.0450     0.0147         -0.0246
   255    0.0480    2.0300     0.0253         -0.0227
   256    0.0572    2.0300     0.0246         -0.0325
   257    0.0773    2.4360     0.0366         -0.0407
   258    0.0390    3.0450     0.0286         -0.0104
   259    0.0448    2.2330     0.0195         -0.0253
   260    0.0718    2.0300     0.0309         -0.0409
   261    0.0723    2.6390     0.0437         -0.0286
   262    0.0577    2.4360     0.0247         -0.0330
   263    0.0560    2.4360     0.0319         -0.0241
   264    0.0502    2.6390     0.0198         -0.0304
   265    0.0791    2.0300     0.0370         -0.0421
   266    0.0932    2.2330     0.0471         -0.0462
   267    0.0709    2.2330     0.0399         -0.0310
   268    0.0348    2.2330     0.0221         -0.0127
   269    0.0116    2.6390     0.0036         -0.0079
   270    0.0421    2.2330     0.0166         -0.0256
   271    0.0462    3.0450     0.0229         -0.0233
   272    0.0344    1.8270     0.0179         -0.0165
   273    0.0357    2.0300     0.0180         -0.0177
   274    0.0298    2.8420     0.0121         -0.0177
   275    0.0349    2.4360     0.0202         -0.0147
   276    0.0348    2.8420     0.0143         -0.0205
   277    0.0300    2.0300     0.0183         -0.0117
   278    0.0204    2.8420     0.0088         -0.0116
   279    0.0321    2.0300     0.0119         -0.0202
   280    0.0412    2.4360     0.0235         -0.0176
   281    0.0402    2.2330     0.0151         -0.0251
   282    0.0340    1.8270     0.0232         -0.0108
   283    0.0434    1.8270     0.0162         -0.0272
   284    0.0644    2.0300     0.0369         -0.0274
   285    0.0243    1.6240     0.0145         -0.0098
   286    0.0147    1.6240     0.0060         -0.0086
   287    0.0218    1.8270     0.0109         -0.0108
   288    0.0353    2.2330     0.0158         -0.0195
   289    0.0389    2.0300     0.0175         -0.0214
   290    0.0354    2.0300     0.0191         -0.0163
   291    0.0378    2.0300     0.0187         -0.0191
   292    0.0494    2.4360     0.0241         -0.0253
   293    0.0375    3.0450     0.0232         -0.0143
   294    0.0211    3.4510     0.0132         -0.0079
   295    0.0262    2.6390     0.0127         -0.0134
   296    0.0113    1.6240     0.0079         -0.0033
   297    0.0265    2.4360     0.0096         -0.0168
   298    0.0264    2.0300     0.0161         -0.0103
   299    0.0153    1.6240     0.0043         -0.0110
   300    0.0382    2.0300     0.0181         -0.0200
   301    0.0178    1.6240     0.0095         -0.0082
   302    0.0178    1.8270     0.0097         -0.0081
   303    0.0216    2.4360     0.0098         -0.0118
   304    0.0104    2.2330     0.0062         -0.0042
   305    0.0191    2.6390     0.0092         -0.0099
   306    0.0188    2.6390     0.0090         -0.0098
   307    0.0179    3.0450     0.0053         -0.0126
   308    0.0225    1.8270     0.0118         -0.0107
   309    0.0317    2.2330     0.0159         -0.0159
   310    0.0230    2.6390     0.0126         -0.0104
   311    0.0131    2.0300     0.0068         -0.0062
   312    0.0113    1.8270     0.0034         -0.0079
   313    0.0252    2.2330     0.0121         -0.0131
   314    0.0207    2.4360     0.0138         -0.0068
   315    0.0098    1.4210     0.0004         -0.0094
   316    0.0322    2.8420     0.0155         -0.0167
   317    0.0408    2.4360     0.0201         -0.0207
   318    0.0428    2.2330     0.0219         -0.0210
   319    0.0281    2.2330     0.0151         -0.0130
   320    0.0270    2.2330     0.0155         -0.0115
   321    0.0374    2.6390     0.0128         -0.0246
   322    0.0597    2.0300     0.0290         -0.0307
   323    0.0573    2.0300     0.0351         -0.0223
   324    0.0235    1.8270     0.0110         -0.0125
   325    0.0114    1.4210     0.0088         -0.0026
   326    0.0040    1.4210     0.0012         -0.0028
   327    0.0323    2.2330     0.0113         -0.0210
   328    0.0298    2.2330     0.0169         -0.0129
   329    0.0224    2.4360     0.0116         -0.0108
   330    0.0156    1.8270     0.0071         -0.0086
   331    0.0127    1.6240     0.0094         -0.0033
   332    0.0159    1.8270     0.0064         -0.0095
   333    0.0236    2.0300     0.0079         -0.0157
   334    0.0298    2.2330     0.0210         -0.0088
   335    0.0212    1.8270     0.0077         -0.0135
   336    0.0169    2.0300     0.0105         -0.0064
   337    0.0145    1.8270     0.0066         -0.0079
   338    0.0267    2.2330     0.0095         -0.0173
   339    0.0348    2.6390     0.0184         -0.0164
   340    0.0257    4.4660     0.0133         -0.0124
   341    0.0351    2.2330     0.0218         -0.0133
   342    0.0172    2.0300     0.0070         -0.0103
   343    0.0107    2.4360     0.0066         -0.0041
   344    0.0224    1.8270     0.0058         -0.0166
   345    0.0555    2.2330     0.0279         -0.0276
   346    0.0403    1.8270     0.0199         -0.0204
   347    0.0260    3.6540     0.0118         -0.0142
   348    0.0181    3.8570     0.0094         -0.0087
   349    0.0294    2.0300     0.0148         -0.0146
   350    0.0409    1.8270     0.0190         -0.0219
   351    0.0428    2.0300     0.0237         -0.0191
   352    0.0367    1.8270     0.0180         -0.0187
   353    0.0275    1.8270     0.0127         -0.0148
   354    0.0435    2.4360     0.0200         -0.0235
   355    0.0190    1.6240     0.0147         -0.0043
   356    0.0272    1.8270     0.0060         -0.0212
   357    0.0424    1.8270     0.0242         -0.0182
   358    0.0579    1.8270     0.0240         -0.0339
   359    0.0536    2.0300     0.0307         -0.0229
   360    0.0458    1.8270     0.0224         -0.0235
