 
  * * * * * * * PROGRAM ZCROSS * * * * * * * *
  * *
  * M.J. KRAFFT *
  * *
  * *
  * Zero Up-Crossing Analysis *
  * *
  * * * * * * * * * * * * * * * * * * * * * * *
 
 
  * * * * * * * * INPUT DATA * * * * * * * * *
 
  INPUT TIME SERIES ANALYZED: g1-nf203.in 
  NUMBER OF POINTS IN SERIES:         3952
  TIME SERIES TIME STEP :   0.2030000      SEC
  TIME SERIES RECORD LENGTH :    802.0530      SEC
 
  Notes: -mean of time series has been removed.
  -except for computation of mean of input
  time series, data prior to first up-
  crossing and data after last up-crossing
  has been ignored in z-cross analysis.
 
  * * * Z-CROSS WAVE HEIGHT/PERIOD DATA * * * *
 
 INDEX   HEIGHT    PERIOD     CREST HEIGHT   TROUGH DEPTH
   442    0.2040    1.6240     0.1130         -0.0910
   443    0.0870    1.2180     0.0540         -0.0330
   444    0.0620    0.8120     0.0160         -0.0460
   445    0.0740    1.0150     0.0450         -0.0290
   446    0.0630    1.0150     0.0330         -0.0300
   447    0.1100    1.6240     0.0440         -0.0660
   448    0.0620    0.6090     0.0390         -0.0230
   449    0.0760    2.0300     0.0370         -0.0390
   450    0.1900    1.4210     0.1210         -0.0690
   451    0.0280    0.6090     0.0040         -0.0240
   452    0.1090    1.4210     0.0460         -0.0630
   453    0.1040    1.0150     0.0530         -0.0510
   454    0.1650    1.2180     0.0900         -0.0750
   455    0.0790    2.4360     0.0290         -0.0500
   456    0.0380    0.6090     0.0160         -0.0220
   457    0.0710    1.4210     0.0360         -0.0350
   458    0.1490    1.4210     0.0920         -0.0570
   459    0.1690    1.4210     0.0720         -0.0970
   460    0.1290    1.4210     0.0690         -0.0600
   461    0.0770    0.8120     0.0460         -0.0310
   462    0.0750    1.0150     0.0440         -0.0310
   463    0.0800    1.2180     0.0220         -0.0580
   464    0.1630    1.2180     0.1050         -0.0580
   465    0.0970    1.2180     0.0490         -0.0480
   466    0.0200    0.8120     0.0010         -0.0190
   467    0.0170    0.6090     0.0040         -0.0130
   468    0.0350    0.6090     0.0050         -0.0300
   469    0.1430    0.8120     0.0680         -0.0750
   470    0.1450    1.0150     0.0880         -0.0570
   471    0.1260    1.4210     0.0670         -0.0590
   472    0.1170    1.6240     0.0730         -0.0440
   473    0.1620    1.0150     0.1080         -0.0540
   474    0.0640    1.4210     0.0300         -0.0340
   475    0.0290    0.6090     0.0030         -0.0260
   476    0.1050    1.4210     0.0670         -0.0380
   477    0.0210    0.6090     0.0140         -0.0070
   478    0.0290    0.6090     0.0120         -0.0170
   479    0.0280    0.6090     0.0130         -0.0150
   480    0.1390    1.2180     0.0720         -0.0670
   481    0.1560    1.2180     0.0760         -0.0800
   482    0.1540    1.6240     0.1010         -0.0530
   483    0.1740    1.2180     0.0900         -0.0840
   484    0.0960    1.4210     0.0300         -0.0660
   485    0.0660    1.2180     0.0300         -0.0360
   486    0.0110    0.4060     0.0010         -0.0100
   487    0.0190    0.8120     0.0080         -0.0110
   488    0.0510    1.2180     0.0250         -0.0260
   489    0.1100    1.2180     0.0590         -0.0510
   490    0.0390    0.6090     0.0090         -0.0300
   491    0.1390    1.2180     0.0510         -0.0880
   492    0.1370    1.4210     0.0660         -0.0710
   493    0.0410    0.6090     0.0170         -0.0240
   494    0.0920    1.2180     0.0470         -0.0450
   495    0.1130    2.0300     0.0440         -0.0690
   496    0.1300    0.8120     0.0870         -0.0430
   497    0.0480    0.6090     0.0130         -0.0350
   498    0.0370    0.6090     0.0340         -0.0030
   499    0.0650    0.8120     0.0020         -0.0630
   500    0.0800    1.2180     0.0470         -0.0330
   501    0.0550    1.4210     0.0220         -0.0330
   502    0.0990    1.0150     0.0470         -0.0520
   503    0.1040    1.0150     0.0520         -0.0520
   504    0.0960    1.0150     0.0440         -0.0520
   505    0.0840    1.2180     0.0410         -0.0430
   506    0.1220    1.0150     0.0490         -0.0730
   507    0.1290    1.4210     0.0440         -0.0850
   508    0.1760    1.6240     0.1150         -0.0610
   509    0.1050    1.0150     0.0350         -0.0700
   510    0.1050    1.0150     0.0710         -0.0340
   511    0.0400    0.6090     0.0260         -0.0140
   512    0.0610    0.8120     0.0210         -0.0400
   513    0.0790    1.6240     0.0290         -0.0500
   514    0.0890    1.4210     0.0670         -0.0220
   515    0.0500    1.0150     0.0000         -0.0500
   516    0.0640    1.2180     0.0360         -0.0280
   517    0.0160    0.4060     0.0150         -0.0010
   518    0.0700    1.2180     0.0300         -0.0400
   519    0.0250    0.6090     0.0040         -0.0210
   520    0.0740    1.8270     0.0400         -0.0340
   521    0.1540    1.4210     0.0870         -0.0670
   522    0.0460    0.8120     0.0290         -0.0170
   523    0.0940    1.8270     0.0500         -0.0440
   524    0.1180    2.2330     0.0480         -0.0700
   525    0.1310    1.0150     0.0680         -0.0630
   526    0.1090    1.0150     0.0510         -0.0580
   527    0.0390    1.0150     0.0010         -0.0380
   528    0.0840    2.0300     0.0350         -0.0490
   529    0.1150    2.6390     0.0660         -0.0490
   530    0.0780    1.0150     0.0310         -0.0470
   531    0.1260    1.2180     0.0710         -0.0550
   532    0.0240    1.0150     0.0080         -0.0160
   533    0.1040    1.6240     0.0610         -0.0430
   534    0.0730    1.0150     0.0340         -0.0390
