 
  * * * * * * * PROGRAM ZCROSS * * * * * * * *
  * *
  * M.J. KRAFFT *
  * *
  * *
  * Zero Up-Crossing Analysis *
  * *
  * * * * * * * * * * * * * * * * * * * * * * *
 
 
  * * * * * * * * INPUT DATA * * * * * * * * *
 
  INPUT TIME SERIES ANALYZED: gA-f203.in  
  NUMBER OF POINTS IN SERIES:         9491
  TIME SERIES TIME STEP :   0.2030000      SEC
  TIME SERIES RECORD LENGTH :    1926.470      SEC
 
  Notes: -mean of time series has been removed.
  -except for computation of mean of input
  time series, data prior to first up-
  crossing and data after last up-crossing
  has been ignored in z-cross analysis.
 
  * * * Z-CROSS WAVE HEIGHT/PERIOD DATA * * * *
 
 INDEX   HEIGHT    PERIOD     CREST HEIGHT   TROUGH DEPTH
   264    0.0100    1.8270     0.0048         -0.0051
   265    0.0049    1.4210     0.0040         -0.0010
   266    0.0070    1.8270     0.0019         -0.0050
   267    0.0147    2.2330     0.0063         -0.0084
   268    0.0217    2.6390     0.0114         -0.0103
   269    0.0230    2.6390     0.0124         -0.0105
   270    0.0114    2.8420     0.0076         -0.0038
   271    0.0116    2.2330     0.0040         -0.0076
   272    0.0127    1.8270     0.0085         -0.0041
   273    0.0129    1.8270     0.0026         -0.0103
   274    0.0243    2.2330     0.0135         -0.0108
   275    0.0147    3.2480     0.0049         -0.0098
   276    0.0178    2.4360     0.0108         -0.0070
   277    0.0132    2.6390     0.0033         -0.0099
   278    0.0384    2.2330     0.0191         -0.0194
   279    0.0198    1.8270     0.0133         -0.0065
   280    0.0186    1.6240     0.0063         -0.0123
   281    0.0320    2.0300     0.0166         -0.0153
   282    0.0259    1.8270     0.0123         -0.0136
   283    0.0305    1.8270     0.0140         -0.0166
   284    0.0305    2.0300     0.0153         -0.0152
   285    0.0136    1.6240     0.0118         -0.0018
   286    0.0066    1.6240     0.0001         -0.0065
   287    0.0104    1.6240     0.0059         -0.0045
   288    0.0160    1.8270     0.0067         -0.0093
   289    0.0216    1.6240     0.0106         -0.0110
   290    0.0299    2.0300     0.0139         -0.0160
